URL FONTE,IP/Domain/URL,Reputazione Iniziale,Valutazione reputazione media,Reputazione Media Lista,% report sul campione VT(#200),FREQ. AGGIORNAMENTO,n ENTRIES,Facilita download,Download aggiorn xml rsync,Credibilita,Risultato,Risultato %
zeustracker.abuse.ch,IP,NO,1,0.0354,0.9500,7,3,3,SI,7,4.3000,0.2704
http://malc0de.com/database/,IP,NO,1,0.0096,0.8100,3,7,1,SI,3,2.5000,0.1572
http://www.malwaredomainlist.com/mdl.php,IP,NO,1,0.0208,1,3,3,1,SI,3,2.1000,0.1321
http://support.clean-mx.de/clean-mx/viruses,IP,SI,1,0.0037,0.5750,1,7,3,SI,3,2.1000,0.1321
http://www.blocklist.de/,IP,NO,1,0.0007,0.4200,3,1,3,SI,7,2.5000,0.1572
http://www.openbl.org/lists.html,IP,NO,1,0.0012,0.3600,3,3,3,SI,1,2.4000,0.1509
PESI,,,0.2500,,,0.4000,0.1000,0.2000,,0.0500,15.9000
VOTO,REPUTAZIONE  LISTA,FREQ. AGGIORNAMENTO,n ENTRIES,Facilita download,Affidabilita
LOW = 1,<40%,settimanale,0-5000,parsing,nessuna notizia
MEDIUM = 3,40-70%,giornaliera,5000-25000,downolad file,partner minori
HIGH = 7,> 70%,real-time,>25000,API-rsync,partner forti o è uno std usato da altri
